Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000004709	ENSBTAT00000006183	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	934853	1	1	13	0	2.1666666666666665	6	SRR594473,SRR594474,SRR594478,SRR594481,SRR594490,SRR594491	2,5,1,3,1,1	0,0,0,0,0,0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000083233	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	934853	1	1	13	0	2.1666666666666665	6	SRR594473,SRR594474,SRR594478,SRR594481,SRR594490,SRR594491	2,5,1,3,1,1	0,0,0,0,0,0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000082454	ENSBTAE00000536615	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	934853	1	1	13	0	2.1666666666666665	6	SRR594473,SRR594474,SRR594478,SRR594481,SRR594490,SRR594491	2,5,1,3,1,1	0,0,0,0,0,0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000006183	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	938381	1	1	1	0	1.0	1	SRR594475	1	0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000083233	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	938381	1	1	1	0	1.0	1	SRR594475	1	0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000082454	ENSBTAE00000536615	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	938381	1	1	1	0	1.0	1	SRR594475	1	0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000006183	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	945059	1	1	1	0	1.0	1	SRR594477	1	0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000083233	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	945059	1	1	1	0	1.0	1	SRR594477	1	0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000082454	ENSBTAE00000536615	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	945059	1	1	1	0	1.0	1	SRR594477	1	0						
bos_taurus	ENSBTAG00000004709	ENSBTAT00000006183	ENSBTAE00000363020	ENSBTAE00000363020_SE_0/ENSBTAE00000536615_SE_0	7_1	934359	934456	7	934457	945634	1	1	1	0	1.0	1	SRR594480	1	0						
